house_num,id,year,working,agri,employed,workstyle
134,4,2013,2,999,999,999
134,4,2014,2,999,999,999
134,4,2015,2,999,999,999
135,1,2011,1,0,0,0
135,1,2012,1,0,0,0
135,1,2013,1,0,0,0
135,1,2014,1,0,0,0
135,1,2015,1,0,0,0
135,2,2011,1,0,0,0
135,2,2012,1,0,0,0
135,2,2013,1,0,0,0
135,2,2014,1,0,0,0
135,2,2015,1,0,0,0
136,1,2011,1,0,0,0
136,1,2012,1,0,0,0
136,1,2013,1,0,0,0
136,1,2014,1,0,0,0
136,1,2015,1,0,0,0
136,2,2011,1,0,0,0
136,2,2012,1,0,0,0
136,2,2013,1,0,0,0
136,2,2014,1,0,0,0
136,2,2015,1,0,0,0
136,3,2011,1,0,0,0
136,3,2012,1,0,0,0
136,3,2013,1,0,0,0
136,3,2014,1,0,0,0
136,3,2015,1,0,0,0
136,4,2011,1,0,0,0
136,4,2012,1,0,0,0
136,4,2013,1,0,0,0
136,4,2014,1,0,0,0
136,4,2015,1,0,0,0
136,5,2011,2,999,999,999
136,5,2012,2,999,999,999
136,5,2013,2,999,999,999
136,5,2014,2,999,999,999
136,5,2015,2,999,999,999
136,6,2011,3,999,999,999
136,6,2012,3,999,999,999
136,6,2013,3,999,999,999
136,6,2014,2,999,999,999
136,6,2015,2,999,999,999
137,1,2011,1,0,0,0
137,1,2012,1,0,0,0
137,1,2013,1,0,0,0
137,1,2014,1,0,0,0
137,1,2015,1,0,0,0
137,2,2011,1,0,0,0
137,2,2012,1,0,0,0
137,2,2013,1,0,0,0
137,2,2014,1,0,0,0
137,2,2015,1,0,0,0
137,3,2011,1,0,0,0
137,3,2012,1,0,0,0
137,3,2013,1,0,0,0
137,3,2014,1,0,0,0
137,3,2015,1,0,0,0
137,4,2011,1,0,0,0
137,4,2012,1,0,0,0
137,4,2013,1,0,0,0
137,4,2014,1,0,0,0
137,4,2015,1,0,0,0
137,5,2011,2,999,999,999
137,5,2012,2,999,999,999
137,5,2013,2,999,999,999
137,5,2014,2,999,999,999
137,5,2015,2,999,999,999
137,6,2011,3,999,999,999
137,6,2012,3,999,999,999
137,6,2013,3,999,999,999
137,6,2014,3,999,999,999
137,6,2015,3,999,999,999
138,1,2011,1,0,0,0
138,1,2012,1,0,0,0
138,1,2013,1,0,0,0
138,1,2014,1,0,0,0
138,1,2015,1,0,0,0
138,2,2011,1,0,0,0
138,2,2012,1,0,0,0
138,2,2013,1,0,0,0
138,2,2014,1,0,0,0
138,2,2015,1,0,0,0
138,3,2011,1,0,0,0
138,3,2012,1,0,0,0
138,3,2013,1,0,0,0
138,3,2014,1,0,0,0
138,3,2015,1,0,0,0
138,4,2011,1,0,0,0
138,4,2012,1,0,0,0
138,4,2013,1,0,0,0
138,4,2014,1,0,0,0
138,4,2015,1,0,0,0
139,1,2011,1,0,0,0
139,1,2012,1,0,0,0
139,1,2013,1,0,0,0
139,1,2014,1,0,0,0
139,1,2015,1,0,0,0
139,2,2011,1,0,0,0
139,2,2012,1,0,0,0
139,2,2013,1,0,0,0
139,2,2014,1,0,0,0
139,2,2015,1,0,0,0
139,3,2011,1,0,0,0
139,3,2012,1,0,0,0
139,3,2013,1,0,0,0
139,3,2014,1,0,0,0
139,3,2015,1,0,0,0
139,4,2011,1,0,0,0
139,4,2012,1,0,0,0
139,4,2013,1,0,0,0
139,4,2014,1,0,0,0
139,4,2015,1,0,0,0
140,1,2011,1,0,0,0
140,1,2012,1,0,0,0
140,1,2013,1,0,0,0
140,1,2014,1,0,0,0
140,1,2015,1,0,0,0
140,2,2011,1,0,0,0
140,2,2012,1,0,0,0
140,2,2013,1,0,0,0
140,2,2014,1,0,0,0
140,2,2015,1,0,0,0
140,3,2011,1,0,0,0
140,3,2012,1,0,0,0
140,3,2013,1,0,0,0
140,3,2014,1,0,0,0
140,3,2015,1,0,0,0
140,4,2011,1,0,0,0
140,4,2012,1,0,0,0
140,4,2013,1,0,0,0
140,4,2014,1,0,0,0
140,4,2015,1,0,0,0
141,1,2011,1,0,0,0
141,1,2012,1,0,0,0
141,1,2013,1,0,0,0
141,1,2014,1,0,0,0
141,1,2015,1,0,0,0
141,2,2011,1,0,0,0
141,2,2012,1,0,0,0
141,2,2013,1,0,0,0
141,2,2014,1,0,0,0
