house_num,id,family,gendar,age,household,married,ethnicity,elementary,junior,high,university,monestary,health,cold,chronic,together,hours
129,1,2,1,75,0,1,2,5,0,0,0,0,2,4,0,999,999
129,2,1,0,75,1,1,2,5,0,0,0,0,0,24,0,999,999
129,3,3,1,50,0,0,2,5,0,0,0,0,2,5,0,1,9
129,4,3,1,42,0,1,2,5,0,0,0,0,2,5,0,1,9
129,5,8,0,2,0,0,2,0,0,0,0,0,2,3,0,999,999
129,1,2,1,75,0,1,2,5,0,0,0,0,2,4,0,0,0
129,2,1,0,75,1,1,2,5,0,0,0,0,2,24,0,0,0
129,3,3,1,50,0,0,2,5,0,0,0,0,2,5,0,1,9
129,4,3,1,42,0,1,2,5,0,0,0,0,2,5,0,1,9
129,5,8,0,2,0,0,2,0,0,0,0,0,2,3,0,0,0
157,1,1,0,40,1,1,2,5,3,4,0,0,2,2,0,1,10
157,2,2,1,39,0,1,2,5,3,0,0,0,2,2,0,1,10
157,3,3,1,10,0,0,2,5,0,0,0,0,2,2,0,0,0
157,4,8,1,63,0,0,2,4,0,0,0,0,2,2,0,0,0
158,1,1,0,65,1,1,2,5,3,1,0,0,2,1,0,1,2.5
158,2,2,1,64,0,1,2,5,5,0,0,0,2,2,0,1,2.5
173,,,,,,,2,,,,,,,,,,
173,1,2,1,35,0,1,2,5,0,0,0,0,2,2,0,1,6
173,2,1,0,35,1,1,2,4,0,0,0,0,2,3,0,1,14
173,3,4,0,11,0,1,2,5,1,0,0,0,2,24,0,0,0
173,4,3,1,0,0,0,2,0,0,0,0,0,999,2,0,0,0
174,1,2,1,38,0,1,2,5,4,2,3,0,2,1,0,1,4
174,2,1,0,40,1,1,2,5,4,2,0,0,2,1,0,1,4
174,3,4,0,9,0,0,2,4,0,0,0,0,999,2,0,0,0
176,1,3,1,55,0,0,2,5,3,0,0,0,2,3,0,1,5
176,2,1,0,83,1,1,2,0,0,0,0,3,2,3,0,1,5
176,3,2,1,82,0,1,2,0,0,0,0,0,2,3,0,1,5
177,1,2,0,38,1,1,2,4,0,0,0,0,2,2,0,1,6
177,2,3,1,4,0,0,2,0,0,0,0,1,2,2,0,0,0
178,1,1,,60,0,1,2,4,0,0,0,0,2,2,1,1,8.5
178,2,2,,58,0,1,2,4,0,0,0,0,2,0,0,1,8.5
178,3,3,,30,0,0,2,4,0,0,0,0,2,0,0,1,8.5
178,4,3,,26,0,0,2,5,3,2,3,0,2,2,0,0,0
178,5,3,,20,0,0,2,5,1,0,0,0,2,0,0,1,8.5
178,6,3,,13,0,0,2,5,1,0,0,0,2,1,0,0,0
179,1,5,,68,0,0,2,4,0,0,0,0,4,1,0,1,5
179,2,5,,61,0,0,2,4,0,0,0,0,4,3,0,1,5
179,3,5,,62,0,1,2,5,3,1,0,0,4,2,0,1,5
179,4,8,0,54,1,1,2,4,0,0,0,0,4,3,1,1,5
179,5,8,1,21,0,0,2,5,3,2,4,0,4,3,0,0,0
180,1,2,,66,0,1,2,4,0,0,0,0,2,3,0,1,9
180,2,1,,67,1,1,2,5,3,2,0,0,2,2,1,1,9
180,3,4,,36,0,1,2,5,2,0,0,0,2,2,0,1,9
180,4,8,1,38,0,1,2,5,7,0,0,0,2,2,1,1,9
180,5,8,999,5,0,0,2,5,0,0,0,0,2,2,0,0,0
180,6,8,999,10,0,0,2,0,0,0,0,1,2,2,0,0,0
193,1,4,0,30,0,0,2,5,1,0,0,5,2,0,0,1,7
193,2,3,1,40,1,0,2,5,2,0,0,0,2,0,0,1,7
194,1,1,0,49,1,1,2,5,0,0,0,0,2,0,0,1,8
194,2,2,1,45,0,1,2,5,0,0,0,0,2,3,0,1,8
194,3,3,1,19,0,0,2,5,4,0,0,0,2,3,0,1,8
194,4,3,1,13,0,0,2,5,4,0,0,0,2,3,0,0,0
195,1,2,1,81,1,1,2,4,0,0,0,0,2,7,0,0,0
195,2,3,1,44,1,1,2,5,2,0,0,0,2,3,0,1,7
233,1,6,0,45,1,0,2,5,0,0,0,0,4,0,0,1,7
233,2,5,1,40,0,0,2,5,0,0,0,0,4,0,0,1,1
233,3,5,1,38,0,0,2,5,0,0,0,0,4,0,0,1,1
233,4,5,1,30,0,0,2,5,0,0,0,0,4,0,0,1,1
4,1,2,1,53,0,1,2,0,0,0,0,2,2,0,0,1,6
4,2,1,0,54,1,1,2,0,0,0,0,2,2,0,0,1,6
4,3,4,0,29,0,0,2,0,0,0,0,0,2,0,0,1,6
4,4,3,1,24,0,0,2,0,0,0,0,0,2,0,0,1,6
5,1,1,0,48,1,1,2,4,0,0,0,0,2,1,0,1,8
5,2,3,1,15,0,0,2,4,0,0,0,0,2,1,0,1,8
5,3,3,1,24,0,0,2,4,0,0,0,0,2,1,0,1,8
5,4,3,1,19,0,0,2,4,0,0,0,0,2,1,0,1,8
5,5,4,0,21,0,0,2,4,0,0,0,0,2,1,0,1,8
5,6,4,0,21,0,1,2,4,0,0,0,0,2,1,0,1,8
5,7,4,0,17,0,0,2,4,0,0,0,0,2,1,0,1,8
5,8,2,1,50,0,1,2,4,0,0,0,0,2,1,0,1,8
87,1,1,0,31,1,1,2,5,4,2,3,0,2,0,0,0,999
87,2,2,1,26,0,1,2,5,4,2,0,0,2,0,0,0,999
87,3,4,0,6,0,0,2,1,0,0,0,0,999,1,0,999,999
87,4,3,1,1,0,0,2,0,0,0,0,0,999,0,0,999,999
88,1,3,1,37,1,1,2,5,0,0,0,0,2,1,0,1,8
