house_num,unit1,unit2,unit3,unit4,dist_nawaday,dist_exceptnawaday,dist_mainroad,dist_pyae,belong,howmanyyears,switch,ratoon,wall,roof,onefloor,bicycle,motor,car,chiken,pig,cow,fan,refri,computer,mobile,radio,tv,planning_for_sugar,low_price,transport,labou_cost,wait_factory,attractive_crop
3,3,999,999,3,5,32,0.5,2,1,40,0,999,4,3,1,0,1,0,14,0,2,0,0,0,1,0,1,0,999,999,999,999,4
6,3,4,999,3,6,20,4,8,1,50,6,0,2,3,1,1,0,0,40,0,2,0,0,0,1,1,1,0,0,1,0,0,4
7,3,999,999,3,5,15,0.125,6,1,998,1,1,3,3,1,0,2,0,0,0,4,0,1,0,4,0,1,1,0,1,0,1,4
8,3,4,999,999,5,20,1,7,1,998,0,1,2,3,1,2,0,0,10,0,0,0,0,0,2,1,0,0,0,0,0,0,1
9,3,4,999,3,5,998,1,8,1,998,0,1,4,3,1,0,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,1
10,3,4,3,3,3,20,1.5,8,1,100,0,2,2,3,0,1,1,0,10,0,3,0,0,0,1,1,1,1,0,0,0,1,1
19,3,4,999,999,0.5,12,0,2,1,15,0,2,3,3,1,2,2,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,2
20,3,4,3,3,1,20,1,3,1,20,0,1,3,3,1,0,1,0,0,0,5,1,1,0,1,1,2,1,0,1,1,1,2
21,3,4,3,3,1,24,1.5,3,1,30,0,1,3,3,1,0,1,0,1,0,6,0,0,0,0,1,1,1,0,0,0,1,2
22,3,4,3,3,1,24,1.5,3,1,30,0,1,3,3,1,0,2,0,0,0,6,1,0,0,4,1,1,0,0,0,0,1,1
29,3,4,3,3,0.5,30,15,15,1,998,0,2,4,3,1,1,1,0,3,0,6,0,0,0,1,1,1,1,1,0,0,0,2
29,3,999,999,3,2,50,1,1.5,1,998,0,999,2,3,1,1,1,0,8,0,2,0,0,0,1,0,1,0,0,0,0,0,1
30,999,4,3,0,5,30,10,15,1,30,0,1,3,3,1,0,1,0,0,0,4,1,0,0,1,0,1,1,1,0,0,0,2
30,3,999,3,999,1,20,1,3,1,3,0,999,2,2,1,0,1,0,20,0,4,0,0,0,1,0,1,0,0,0,0,0,3
31,3,4,999,999,2,20,2,4,1,998,0,1,3,3,1,0,2,0,0,0,4,2,0,0,1,1,1,1,1,0,0,1,2
31,3,4,3,3,2,999,2,2,1,20,0,1,2,3,1,1,1,0,0,0,5,0,0,0,1,1,1,0,0,0,1,0,6
