house_num,cook,peanut,sesami,soybean,palm,mixed,other,peanut_price,sesami_price,soybean_price,palm_price,mixed_price,other_price,peanut_amount,sesami_amount,soybean_amount,palm_amount,mixed_amount,other_amount,price_healthy,produce_oil,meal,masmedia,health_info,smoking,madical_person,peanut,sesami,palm
274,2,0,1,0,0,0,0,0,3000,0,0,0,0,0,5,0,0,0,0,1,0,3,0,1,0,0,2,2,2
316,2,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,5,0,1,0,3,1,1,0,0,1,1,3
317,2,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,1,0,1,0,3,0,0,0,1,1,1,1
339,2,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,1,0,3,0,0,0,0,2,2,2
340,1,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,1,3
341,1,0,1,0,0,0,0,0,4000,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,2,3
342,2,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,2.5,0,1,0,3,0,0,0,0,3,2,3
343,1,0,1,0,0,0,0,0,2500,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,3,3
345,2,0,1,0,0,0,0,0,4000,0,0,0,0,0,4,0,0,0,0,1,0,3,0,1,0,0,3,3,3
346,2,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,1,1,1
347,2,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,2,0,1,0,3,0,0,1,0,1,1,1
354,2,0,0,0,0,1,0,0,0,0,0,2200,0,0,0,0,0,7,0,1,0,3,0,1,0,0,1,1,3
355,2,0,0,0,0,1,0,0,0,0,0,2200,0,0,0,0,0,4,0,1,0,3,0,1,0,0,1,1,1
400,2,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,1,0,3,0,1,0,0,1,1,3
401,1,0,0,0,0,1,0,0,0,0,0,1600,0,0,0,0,0,4,0,1,0,3,0,1,0,0,1,1,3
402,1,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,2,0,1,0,3,0,1,0,0,1,1,3
186,2,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0,1,1,2
265,2,0,1,0,0,0,0,0,2000,0,0,0,0,0,6,0,0,0,0,1,0,3,0,0,0,0,3,3,2
166,1,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,0,0,0,1,0,3,1,1,0,0,1,1,3
267,2,0,1,0,0,0,0,0,2500,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,1,1,3
268,1,0,1,0,0,0,0,0,2000,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,1,1,1
175,999,0,1,0,0,0,0,0,4500,0,0,0,0,0,3,0,0,0,0,1,0,2,1,1,0,0,3,3,3
299,2,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,2,2,2
300,2,0,1,0,0,0,0,0,2000,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,2,3,3
301,2,0,1,0,0,0,0,0,2500,0,0,0,0,0,5,0,0,0,0,1,0,2,0,999,1,0,3,1,3
302,2,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,1,0,2,3,3
409,2,0,0,0,0,0,1,0,0,0,0,0,2700,0,0,0,0,0,3,1,0,3,1,1,1,0,2,1,3
411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,1,0,3,0,999,0,0,1,2,3
433,4,0,0,0,0,1,0,0,0,0,0,2800,0,0,0,0,0,2,0,1,0,3,0,999,0,0,1,1,3
434,1,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,4,0,1,0,3,0,999,1,0,2,2,3
435,4,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,2,0,1,0,3,1,1,0,0,1,1,3
436,1,0,0,0,1,0,0,0,0,0,2600,0,0,0,0,0,3,0,0,1,0,3,1,1,0,0,1,1,1
32,2,0,1,0,0,0,0,0,4200,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,2,2,2
33,1,0,1,0,0,0,0,0,3000,0,0,0,0,0,4,0,0,0,0,1,0,2,1,1,0,0,1,1,3
33,1,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,3,1,1,1,0,2,2,2
34,1,1,0,0,0,0,0,2200,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,1,0,3,3,3
35,1,1,0,0,0,0,0,2500,0,0,0,0,0,1.5,0,0,0,0,0,0,0,3,0,0,0,0,2,2,3
36,1,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,2,0,0,0,0,3,0,1,0,1,2,2,2
37,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,1.5,0,0,0,0,0,0,3,0,1,0,0,3,3,3
38,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,1.5,0,0,0,0,0,0,3,1,1,1,0,2,1,2
39,2,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,1,0,3,0,999,0,1,2,2,2
40,1,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,1,0,1,0,3,1,1,0,0,1,1,1
41,1,0,0,0,0,1,0,0,0,0,0,1500,0,0,0,0,0,1.5,0,1,0,3,1,1,1,0,2,2,2
93,2,1,1,0,0,0,0,3000,3000,0,0,0,0,1.5,1.5,0,0,0,0,1,0,3,1,0,1,0,2,2,2
94,2,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,1,0,0,0,3,999,999,0,0,2,2,2
95,2,0,0,0,0,1,0,0,0,0,0,2800,0,0,0,0,0,4,0,1,0,3,0,0,1,0,2,2,2
96,2,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,1.5,0,1,0,3,1,1,0,0,3,3,3
105,1,0,1,0,0,0,0,0,4000,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,2,2,3
234,2,0,1,0,0,0,0,0,5000,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,0,0,3,3,3
235,2,0,0,0,1,0,0,0,0,0,2700,0,0,0,0,0,5,0,0,1,0,2,0,999,1,0,3,3,3
236,2,0,1,0,0,0,0,0,3800,0,0,0,0,0,2,0,0,0,0,1,0,2,0,999,0,0,3,3,3
237,2,0,1,0,0,0,0,0,3000,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,3,3,3
240,1,1,0,0,0,0,0,5000,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,1,1,1,3,2,3
344,1,0,1,0,0,0,0,0,3000,0,0,0,0,0,4,0,0,0,0,1,0,3,0,1,1,0,3,3,3
389,1,0,1,0,0,0,0,0,2700,0,0,0,0,0,4,0,0,0,0,1,0,3,0,0,0,0,3,3,3
392,1,0,1,0,0,0,0,0,2500,0,0,0,0,0,2.5,0,0,0,0,1,0,3,0,1,1,0,3,3,3
393,1,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,4,0,0,0,3,0,1,0,0,3,3,3
394,1,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,4,0,1,0,3,0,0,0,0,2,2,2
395,2,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,5,0,1,0,3,0,1,1,0,1,2,2
444,2,1,0,0,0,0,0,4700,0,0,0,0,0,3,0,0,0,0,0,1,0,3,1,0,1,0,3,3,3
446,2,0,0,0,0,1,0,0,0,0,0,2700,0,0,0,0,0,3,0,1,0,3,0,0,0,0,1,2,3
1,1,0,1,0,1,0,0,0,2200,0,1000,0,0,0,3,0,3,0,0,1,0,3,1,1,0,0,2,2,3
2,3,0,1,0,0,0,0,0,3100,0,0,0,0,0,3.5,0,0,0,0,0,0,3,0,999,0,0,1,1,3
3,1,1,0,0,0,0,0,3000,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,999,1,0,1,2,1
6,3,1,0,0,0,0,0,2000,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,1,0,3 ,3,3 
7,2,0,1,0,0,0,0,0,5000,0,0,0,0,0,5,0,0,0,0,1,0,3,1,1,1,0,3,3,3
8,2,0,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,1,0,3,1,1,1,0,1,1,2
10,2,1,1,0,0,0,0,5000,3000,0,0,0,0,0,2,0,0,0,0,1,0,4,0,999,0,0,3,3,3
19,1,1,1,0,0,0,0,5000,5000,0,0,0,0,1.5,1.5,0,0,0,0,1,0,3,0,999,1,0,3,3,3
20,1,0,1,0,0,0,0,0,3000,0,0,0,0,0,5,0,0,0,0,1,0,3,1,1,0,0,2,2,3
21,2,1,0,0,0,0,0,3000,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,999,0,0,3,2,3
22,2,1,0,0,0,0,0,3500,0,0,0,0,0,5,0,0,0,0,0,1,0,3,1,0,0,0,3,3,3
